std_name,common_name,weight_g,length_nose2tail_base_cm,length_nose2tail_notch_cm,length_nose2tail_end_cm,height_cm,width_cm,height2length_pct,width2length_pct,sex
Leuciscus_rutilus,roach,40,12.9,14.1,16.2,4.1,2.3,25.6,14,NA
Leuciscus_rutilus,roach,69,16.5,18.2,20.3,5.3,2.8,26.1,13.9,NA
Leuciscus_rutilus,roach,78,17.5,18.8,21.2,5.6,2.9,26.3,13.7,NA
Leuciscus_rutilus,roach,87,18.2,19.8,22.2,5.6,3.2,25.3,14.3,NA
Leuciscus_rutilus,roach,120,18.6,20,22.2,6.2,3.6,28,16.1,NA
Leuciscus_rutilus,roach,0,19,20.5,22.8,6.5,3.4,28.4,14.7,NA
Leuciscus_rutilus,roach,110,19.1,20.8,23.1,6.2,3.4,26.7,14.7,F
Leuciscus_rutilus,roach,120,19.4,21,23.7,6.1,3.3,25.8,13.9,F
Leuciscus_rutilus,roach,150,20.4,22,24.7,5.8,3.8,23.5,15.2,F
Leuciscus_rutilus,roach,145,20.5,22,24.3,6.6,3.5,27.3,14.6,F
Leuciscus_rutilus,roach,160,20.5,22.5,25.3,7,3.8,27.8,15.1,F
Leuciscus_rutilus,roach,140,21,22.5,25,6.6,3.3,26.2,13.3,NA
Leuciscus_rutilus,roach,160,21.1,22.5,25,6.4,3.8,25.6,15.2,F
Leuciscus_rutilus,roach,169,22,24,27.2,7.5,3.8,27.7,14.1,NA
Leuciscus_rutilus,roach,161,22,23.4,26.7,6.9,3.6,25.9,13.6,NA
Leuciscus_rutilus,roach,200,22.1,23.5,26.8,7.4,4.1,27.6,15.4,F
Leuciscus_rutilus,roach,180,23.6,25.2,27.9,7.1,3.9,25.4,14,NA
Leuciscus_rutilus,roach,290,24,26,29.2,8.9,4.5,30.4,15.4,NA
Leuciscus_rutilus,roach,272,25,27,30.6,8.6,4.8,28,15.6,F
Leuciscus_rutilus,roach,390,29.5,31.7,35,9.5,5.4,27.1,15.3,NA
Abramis_bjrkna,silver_bream,55,13.5,14.7,16.5,6.8,2.3,41.5,14.1,NA
Abramis_bjrkna,silver_bream,60,14.3,15.5,17.4,6.6,2.3,37.8,13.3,M
Abramis_bjrkna,silver_bream,90,16.3,17.7,19.8,7.4,2.7,37.4,13.5,M
Abramis_bjrkna,silver_bream,120,17.5,19,21.3,8.4,2.9,39.4,13.7,M
Abramis_bjrkna,silver_bream,150,18.4,20,22.4,8.9,3.3,39.7,14.7,NA
Abramis_bjrkna,silver_bream,140,19,20.7,23.2,8.5,3.3,36.8,14.2,NA
Abramis_bjrkna,silver_bream,170,19,20.7,23.2,9.4,3.4,40.5,14.7,F
Abramis_bjrkna,silver_bream,145,19.8,21.5,24.1,9.7,3.2,40.4,13.1,F
Abramis_bjrkna,silver_bream,200,21.2,23,25.8,10.3,3.7,40.1,14.2,NA
Abramis_bjrkna,silver_bream,273,23,25,28,11.1,4.1,39.6,14.8,F
Abramis_bjrkna,silver_bream,300,24,26,29,11.4,4.2,39.2,14.6,F
Osmerus_eperlanus,smelt,6.7,9.3,9.8,10.8,1.7,1,16.1,9.7,M
Osmerus_eperlanus,smelt,7.5,10,10.5,11.6,2,1.2,17,10,F
Osmerus_eperlanus,smelt,7,10.1,10.6,11.6,1.7,1.1,14.9,9.9,M
Osmerus_eperlanus,smelt,9.7,10.4,11,12,2.2,1.4,18.3,11.5,F
Osmerus_eperlanus,smelt,9.8,10.7,11.2,12.4,2.1,1.3,16.8,10.3,M
Osmerus_eperlanus,smelt,8.7,10.8,11.3,12.6,2,1.3,15.7,10.2,M
Osmerus_eperlanus,smelt,10,11.3,11.8,13.1,2.2,1.3,16.9,9.8,M
Osmerus_eperlanus,smelt,9.9,11.3,11.8,13.1,2.2,1.2,16.9,8.9,F
Osmerus_eperlanus,smelt,9.8,11.4,12,13.2,2.2,1.1,16.7,8.7,F
Osmerus_eperlanus,smelt,12.2,11.5,12.2,13.4,2.1,1.4,15.6,10.4,F
Osmerus_eperlanus,smelt,13.4,11.7,12.4,13.5,2.4,1.3,18,9.4,F
Osmerus_eperlanus,smelt,12.2,12.1,13,13.8,2.3,1.3,16.5,9.1,F
Osmerus_eperlanus,smelt,19.7,13.2,14.3,15.2,2.9,2.1,18.9,13.6,F
Osmerus_eperlanus,smelt,19.9,13.8,15,16.2,2.9,1.9,18.1,11.6,F
Esox_lucius,pike,200,30,32.3,34.8,5.6,3.4,16,9.7,NA
Esox_lucius,pike,300,31.7,34,37.8,5.7,4.2,15.1,11,F
Esox_lucius,pike,300,32.7,35,38.8,5.9,4.4,15.3,11.3,NA
Esox_lucius,pike,300,34.8,37.3,39.8,6.3,4,15.8,10.1,NA
Esox_lucius,pike,430,35.5,38,40.5,7.3,4.6,18,11.3,NA
Esox_lucius,pike,345,36,38.5,41,6.4,4,15.6,9.7,M
Esox_lucius,pike,456,40,42.5,45.5,7.3,4.3,16,9.5,NA
Esox_lucius,pike,510,40,42.5,45.5,6.8,4.5,15,9.8,NA
Esox_lucius,pike,540,40.1,43,45.8,7.8,5.1,17,11.2,NA
Esox_lucius,pike,500,42,45,48,7,4.9,14.5,10.2,NA
Esox_lucius,pike,567,43.2,46,48.7,7.8,4.9,16,10,F
Esox_lucius,pike,770,44.8,48,51.2,7.7,5.4,15,10.5,F
Esox_lucius,pike,950,48.3,51.7,55.1,8.9,6.2,16.2,11.2,NA
Esox_lucius,pike,1250,52,56,59.7,10.7,7,17.9,11.7,NA
Esox_lucius,pike,1600,56,60,64,9.6,6.1,15,9.6,NA
Esox_lucius,pike,1550,56,60,64,9.6,6.1,15,9.6,F
Esox_lucius,pike,1650,59,63.4,68,10.8,7.5,15.9,11,F
Perca_fluviatilis,perch,5.9,7.5,8.4,8.8,2.1,1.4,24,16,NA
Perca_fluviatilis,perch,32,12.5,13.7,14.7,3.5,2,24,13.6,NA
Perca_fluviatilis,perch,40,13.8,15,16,3.8,2.4,23.9,15.2,NA
Perca_fluviatilis,perch,51.5,15,16.2,17.2,4.6,2.6,26.7,15.3,NA
Perca_fluviatilis,perch,70,15.7,17.4,18.5,4.6,2.9,24.8,15.9,NA
Perca_fluviatilis,perch,100,16.2,18,19.2,5.2,3.3,27.2,17.3,NA
Perca_fluviatilis,perch,78,16.8,18.7,19.4,5.2,3.1,26.8,16.1,NA
Perca_fluviatilis,perch,80,17.2,19,20.2,5.6,3.1,27.9,15.1,NA
Perca_fluviatilis,perch,85,17.8,19.6,20.8,5.1,3,24.7,14.6,NA
Perca_fluviatilis,perch,85,18.2,20,21,5.1,2.8,24.2,13.2,NA
Perca_fluviatilis,perch,110,19,21,22.5,5.7,3.6,25.3,15.8,NA
Perca_fluviatilis,perch,115,19,21,22.5,5.9,3.3,26.3,14.7,NA
Perca_fluviatilis,perch,125,19,21,22.5,5.7,3.7,25.3,16.3,M
Perca_fluviatilis,perch,130,19.3,21.3,22.8,6.4,3.5,28,15.5,F
Perca_fluviatilis,perch,120,20,22,23.5,6.1,3.4,26,14.5,F
Perca_fluviatilis,perch,120,20,22,23.5,5.6,3.5,24,15,NA
Perca_fluviatilis,perch,130,20,22,23.5,6.1,3.5,26,15,NA
Perca_fluviatilis,perch,135,20,22,23.5,5.9,3.5,25,15,NA
Perca_fluviatilis,perch,110,20,22,23.5,5.5,4,23.5,17,F
Perca_fluviatilis,perch,130,20.5,22.5,24,5.9,3.6,24.4,15.1,F
Perca_fluviatilis,perch,150,20.5,22.5,24,6.8,3.6,28.3,15.1,F
Perca_fluviatilis,perch,145,20.7,22.7,24.2,6,3.6,24.6,15,NA
Perca_fluviatilis,perch,150,21,23,24.5,5.2,3.6,21.3,14.8,NA
Perca_fluviatilis,perch,170,21.5,23.5,25,6.3,3.7,25.1,14.9,NA
Perca_fluviatilis,perch,225,22,24,25.5,7.3,3.7,28.6,14.6,NA
Perca_fluviatilis,perch,145,22,24,25.5,6.4,3.8,25,15,NA
Perca_fluviatilis,perch,188,22.6,24.6,26.2,6.7,4.2,25.7,15.9,NA
Perca_fluviatilis,perch,180,23,25,26.5,6.4,3.7,24.3,13.9,F
Perca_fluviatilis,perch,197,23.5,25.6,27,6.6,4.2,24.3,15.7,NA
Perca_fluviatilis,perch,218,25,26.5,28,7.2,4.1,25.6,14.8,NA
Perca_fluviatilis,perch,300,25.2,27.3,28.7,8.3,5.1,29,17.9,F
Perca_fluviatilis,perch,260,25.4,27.5,28.9,7.2,4.3,24.8,15,F
Perca_fluviatilis,perch,265,25.4,27.5,28.9,7.1,4.3,24.4,15,NA
Perca_fluviatilis,perch,250,25.4,27.5,28.9,7.3,4.6,25.2,15.8,F
Perca_fluviatilis,perch,250,25.9,28,29.4,7.8,4.2,26.6,14.3,NA
Perca_fluviatilis,perch,300,26.9,28.7,30.1,7.6,4.6,25.2,15.4,F
Perca_fluviatilis,perch,320,27.8,30,31.6,7.6,4.8,24.1,15.1,F
Perca_fluviatilis,perch,514,30.5,32.8,34,10,6,29.5,17.7,NA
Perca_fluviatilis,perch,556,32,34.5,36.5,10.3,6.4,28.1,17.5,NA
Perca_fluviatilis,perch,840,32.5,35,37.3,11.5,7.8,30.8,20.9,F
Perca_fluviatilis,perch,685,34,36.5,39,10.9,6.9,27.9,17.6,F
Perca_fluviatilis,perch,700,34,36,38.3,10.6,6.7,27.7,17.6,F
Perca_fluviatilis,perch,700,34.5,37,39.4,10.8,6.3,27.5,15.9,F
Perca_fluviatilis,perch,690,34.6,37,39.3,10.6,6.4,26.9,16.2,F
Perca_fluviatilis,perch,900,36.5,39,41.4,11.1,7.5,26.9,18.1,F
Perca_fluviatilis,perch,650,36.5,39,41.4,11.1,6,26.9,14.5,NA
Perca_fluviatilis,perch,820,36.6,39,41.3,12.4,7.4,30.1,17.8,NA
Perca_fluviatilis,perch,850,36.9,40,42.3,11.9,7.1,28.2,16.8,F
Perca_fluviatilis,perch,900,37,40,42.5,11.7,7.2,27.6,17,F
Perca_fluviatilis,perch,1015,37,40,42.4,12.4,7.5,29.2,17.6,F
Perca_fluviatilis,perch,820,37.1,40,42.5,11.1,6.6,26.2,15.6,F
Perca_fluviatilis,perch,1100,39,42,44.6,12.8,6.9,28.7,15.4,F
Perca_fluviatilis,perch,1000,39.8,43,45.2,11.9,7.3,26.4,16.1,F
Perca_fluviatilis,perch,1100,40.1,43,45.5,12.5,7.4,27.5,16.3,F
Perca_fluviatilis,perch,1000,40.2,43.5,46,12.6,8.1,27.4,17.7,M
Perca_fluviatilis,perch,1000,41.1,44,46.6,12.5,7.6,26.8,16.3,F
